Value,S,K,tau,r,BS
21.67040447,431.6238983,420,0.341269841,0.03013,Under
0.125000002,427.01552589999994,465,0.166666667,0.03126,Over
20.69124429,427.7623364,415,0.265873016,0.031160000000000004,Under
1.035002014,451.71165779999995,460,0.063492063,0.02972,Over
39.55301995,446.7189744,410,0.166666667,0.02962,Under
2.505002471,436.9585304,460,0.333333333,0.03023,Over
4.315,427.01552589999994,435,0.166666667,0.03126,Over
0.345001864,428.9963681,455,0.154761905,0.031160000000000004,Over
27.29742292,444.18612740000003,420,0.150793651,0.029930000000000002,Under
0.190000001,429.31429239999994,460,0.150793651,0.03085,Over
13.68777696,445.7899634,440,0.226190476,0.02982,Under
30.95951525,432.3504711,405,0.174603175,0.03168,Under
2.315001441,448.68810920000004,470,0.25,0.03013,Over
45.44616938,448.0366937,405,0.134920635,0.03034,Under
0.940000002,446.7189744,465,0.166666667,0.02962,Over
7.815000003,445.25269000000003,450,0.27777777800000003,0.02962,Over
34.53678854,448.07682800000003,420,0.313492063,0.02972,Under
0.2200007,448.8851089,465,0.055555556,0.02962,Over
2.375002909,445.94562479999996,470,0.305555556,0.02962,Over
18.84733742,448.2201219,435,0.206349206,0.03003,Under
7.749999999,429.8845552,435,0.257936508,0.03065,Over
0.69,447.68234,460,0.079365079,0.029930000000000002,Over
12.3396876,431.96364810000006,425,0.11904761900000001,0.02972,Under
1.125004795,447.90191519999996,460,0.09126984099999999,0.02982,Over
1.44000438,431.2968119,445,0.146825397,0.03065,Over
44.33839744,446.7189744,405,0.166666667,0.02962,Under
22.84217641,429.31429239999994,410,0.150793651,0.03085,Under
11.40344951,446.2002336,445,0.281746032,0.02962,Over
13.07400766,431.6185995,430,0.293650794,0.03147,Under
16.59991321,445.94562479999996,440,0.305555556,0.02962,Under
2.815001147,444.35872580000006,470,0.345238095,0.03003,Over
0.4400001,448.91484,470,0.107142857,0.03023,Over
9.129999997,425.4723308999999,430,0.27777777800000003,0.03126,Under
2.565000016,445.04224000000005,455,0.146825397,0.03003,Over
14.7462626,437.48868569999996,425,0.08730158699999999,0.02962,Under
6.750001696,431.0203943,440,0.28571428600000004,0.03168,Over
8.75,439.03344569999996,445,0.325396825,0.03013,Over
1.4400118380000002,439.45121789999996,460,0.19047619,0.02972,Over
54.87599552,430.63871889999996,380,0.28968254,0.03178,Under
35.47306952,436.8978738,405,0.206349206,0.03013,Under
10.52288835,454.01391730000006,445,0.03968254,0.030539999999999998,Under
11.5161633,440.41926680000006,435,0.17857142899999998,0.03023,Over
5.065004026,441.3800698,440,0.071428571,0.02962,Over
34.2042673,447.43900920000004,420,0.333333333,0.02972,Under
0.315004397,435.0662955,455,0.126984127,0.030539999999999998,Over
8.38,430.9624272,435,0.23412698399999998,0.029930000000000002,Under
0.190000001,439.76400010000003,475,0.17857142899999998,0.03013,Over
11.45127253,434.77285489999997,425,0.04365079400000001,0.03147,Under
2.940000007,445.40449110000003,455,0.174603175,0.029930000000000002,Over
27.34323597,435.0662955,410,0.126984127,0.030539999999999998,Under
3.69000003,451.5328956,470,0.28571428600000004,0.03065,Over
2.190009136,444.2168275,475,0.365079365,0.03044,Over
26.82109246,439.03344569999996,420,0.325396825,0.03013,Under
20.61651031,446.7189744,430,0.166666667,0.02962,Under
2.625005472,431.3421063999999,430,0.011904762,0.03085,Over
14.95753435,444.25518569999997,430,0.027777778,0.029930000000000002,Under
34.59462257,429.12677869999993,395,0.027777778,0.03126,Under
0.250000023,438.15513560000005,480,0.329365079,0.03013,Over
2.3149999969999997,451.22125489999996,480,0.39285714299999996,0.03044,Over
38.91866524,445.9374459,410,0.174603175,0.03034,Under
3.875000001,434.77285489999997,435,0.04365079400000001,0.03147,Under
4.875002551000001,443.91143939999995,450,0.16269841300000001,0.03065,Over
27.81304542,446.73566910000005,420,0.063492063,0.029930000000000002,Under
14.73033817,448.3251089,435,0.055555556,0.02962,Under
11.25,445.9777397,450,0.35714285700000004,0.03023,Under
12.86947605,429.8672081,425,0.23015873,0.03075,Under
0.315001617,438.2392193,455,0.095238095,0.03013,Over
3.8150000110000004,435.11447360000005,450,0.30952381,0.02962,Over
2.125001143,432.16769239999996,450,0.21825396800000002,0.029930000000000002,Over
17.80615312,443.7345937,435,0.301587302,0.02972,Under
28.66887602,439.45121789999996,415,0.19047619,0.02972,Under
12.53134609,434.53603560000005,425,0.111111111,0.03034,Over
2.910000008,443.91143939999995,455,0.16269841300000001,0.03065,Over
30.10420757,436.2317107,410,0.198412698,0.02962,Under
1.9050059590000001,427.7623364,450,0.265873016,0.031160000000000004,Over
30.68019343,439.08120260000004,415,0.293650794,0.02962,Under
27.857869899999997,451.71165779999995,425,0.063492063,0.02972,Under
16.95519952,433.49578610000003,420,0.111111111,0.029930000000000002,Under
14.29626136,429.8845552,425,0.257936508,0.03065,Under
21.42267947,447.3553842,435,0.317460317,0.03003,Under
23.22144991,448.2201219,430,0.206349206,0.03003,Under
8.924258419,443.0939992,440,0.13888888900000002,0.029930000000000002,Over
14.43017074,430.9624272,425,0.23412698399999998,0.029930000000000002,Under
35.37320929,445.25269000000003,415,0.27777777800000003,0.02962,Under
5.565000029,445.9374459,450,0.174603175,0.03034,Over
9.500000002,444.3357398,450,0.329365079,0.029930000000000002,Over
12.45095273,444.3357398,445,0.329365079,0.029930000000000002,Under
7.124999998,449.5572368,450,0.11904761900000001,0.03044,Under
2.505002775,432.69547869999997,455,0.34920634899999997,0.030539999999999998,Over
17.780247600000003,437.340595,425,0.21031746,0.03013,Under
5.440000002000001,446.0877318,465,0.373015873,0.030539999999999998,Over
1.255000001,436.2317107,455,0.198412698,0.02962,Over
20.03519826,431.2968119,415,0.146825397,0.03065,Under
5.625000718,441.3040754,440,0.071428571,0.03013,Over
5.205513998,446.73566910000005,445,0.063492063,0.029930000000000002,Over
27.96888876,441.8434249,415,0.067460317,0.03023,Under
38.84509786,447.68234,410,0.079365079,0.029930000000000002,Under
2.440000644,432.8664657,450,0.25,0.03003,Over
2.1900023809999998,444.3971635,470,0.27380952399999997,0.03034,Over
6.236461656,436.8680998,435,0.09126984099999999,0.02972,Over
19.54285799,444.3357398,435,0.329365079,0.029930000000000002,Under
37.65834794,427.60470039999996,395,0.261904762,0.03085,Under
24.42872678,446.4020774,425,0.14285714300000002,0.02982,Under
0.190000001,427.01552589999994,460,0.166666667,0.03126,Over
25.3713819,444.7248723999999,425,0.253968254,0.02982,Under
0.190008464,447.90191519999996,470,0.09126984099999999,0.02982,Over
19.779769199999997,448.4573061000001,430,0.05952381,0.02962,Under
35.54480893,443.0939992,410,0.13888888900000002,0.029930000000000002,Under
20.80921634,451.5328956,440,0.28571428600000004,0.03065,Under
14.67236366,448.7759098,435,0.027777778,0.03034,Under
0.530000012,450.1225646000001,475,0.12301587300000001,0.030539999999999998,Over
0.190002808,448.4573061000001,465,0.05952381,0.02962,Over
22.28111956,445.25269000000003,430,0.27777777800000003,0.02962,Under
21.7615375,443.7345937,430,0.301587302,0.02972,Under
1.755011109,447.2855227,470,0.24603174600000002,0.03023,Over
38.92600458,447.58002360000006,410,0.08730158699999999,0.02982,Under
27.90473531,431.0203943,410,0.28571428600000004,0.03168,Under
0.470000001,434.77285489999997,445,0.04365079400000001,0.03147,Over
28.82387365,433.91340080000003,410,0.23809523800000001,0.030539999999999998,Under
16.67784088,443.8164193,435,0.257936508,0.03003,Under
7.315001219,445.94562479999996,455,0.305555556,0.02962,Over
40.2038061,449.20281739999996,410,0.063492063,0.03003,Under
21.77107097,427.01552589999994,410,0.166666667,0.03126,Under
5.3150001730000005,445.40449110000003,450,0.174603175,0.029930000000000002,Over
